original,anottated
"Liga a televisão por favor.","Liga a [@televisão#B-DEVICE*] por favor."
"Ligue o ar condicionado.","Ligue o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*]."
"Ar condicionado ligado.","[@Ar#B-DEVICE*] [@condicionado#I-DEVICE*] ligado."
"Liga a luz do quarto ai.","Liga a [@luz#B-DEVICE*] do quarto ai."
"Liga meu computador pra mim.","Liga meu [@computador#B-DEVICE*] pra mim."
"Acende a luz da cozinha por favor.","Acende a [@luz#B-DEVICE*] da cozinha por favor."
"Liga o som.","Liga o [@som#B-DEVICE*]."
"Bota um som aí pra mim.","Bota um [@som#B-DEVICE*] aí pra mim."
"Bota uma música aí.","Bota uma [@música#B-DEVICE*] aí."
"Meu quarto está um pouco escuro.","Meu quarto está um pouco escuro."
"Preciso de luz aqui.","Preciso de [@luz#B-DEVICE*] aqui."
"Coloca a torradeira pra funcionar.","Coloca a [@torradeira#B-DEVICE*] pra funcionar."
"Coloca o ventilador do quarto pra funcionar.","Coloca o [@ventilador#B-DEVICE*] do quarto pra funcionar."
"Faz um café aí.","Faz um [@café#B-DEVICE*] aí."
"Liga a luz do quarto;","Liga a [@luz#B-DEVICE*] do quarto;"
"Pode ligar a TV por favor?","Pode ligar a [@TV#B-DEVICE*] por favor?"
"Ligue o ventilador da sala","Ligue o [@ventilador#B-DEVICE*] da sala"
"Ligar TV da cozinha","Ligar [@TV#B-DEVICE*] da cozinha"
"Ligar aparelho de som","Ligar [@aparelho#B-DEVICE*] [@de#I-DEVICE*] [@som#I-DEVICE*]"
"Pode ligar o PC 1","Pode ligar o [@PC#B-DEVICE*] [@1#I-DEVICE*]"
"Ligar todas as luzes de casa","Ligar todas as [@luzes#B-DEVICE*] de casa"
"Ligar o ar condicionado do quarto com suíte","Ligar o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] do quarto com suíte"
"Ligar a impressora conectada ao pc 1","Ligar a [@impressora#B-DEVICE*] conectada ao pc 1"
"Quero que ligue a TV do quarto;","Quero que ligue a [@TV#B-DEVICE*] do quarto;"
"Ligue a televisão, por favor","Ligue a [@televisão#B-DEVICE*], por favor"
"Liga a tv, por favor","Liga a [@tv#B-DEVICE*], por favor"
"Ligue a luz do cômodo, por favor","Ligue a [@luz#B-DEVICE*] do cômodo, por favor"
"Acenda a luz do cômodo","Acenda a [@luz#B-DEVICE*] do cômodo"
"Ligue o ar condicionado","Ligue o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*]"
"Ligue o ar, por favor","Ligue o [@ar#B-DEVICE*], por favor"
"Por favor,Ligue o computador","Por favor,Ligue o [@computador#B-DEVICE*]"
"Ligue o ar condicionado do cômodo","Ligue o ar [@condicionado#B-DEVICE*] do cômodo"
"Ligue todas as luzes da casa","Ligue todas as [@luzes#B-DEVICE*] da casa"
"Ligue o alarme de casa","Ligue o [@alarme#B-DEVICE*] de casa"
"Ative o alarme de casa","Ative o [@alarme#B-DEVICE*] de casa"
"Ligue o rádio","Ligue o [@rádio#B-DEVICE*]"
"Liga a TV","Liga a [@TV#B-DEVICE*]"
"Resfriar o quarto","Resfriar o quarto"
"Acende o abajur","Acende o [@abajur#B-DEVICE*]"
"Liga as luzes","Liga as [@luzes#B-DEVICE*]"
"Iluminar o quarto","Iluminar o quarto"
"Ar condicionado ligado","[@Ar#B-DEVICE*] [@condicionado#I-DEVICE*] ligado"
"Acende a tv","Acende a [@tv#B-DEVICE*]"
"Esquentar comida no microondas","Esquentar comida no [@microondas#B-DEVICE*]"
"Lavar roupa na máquina","Lavar roupa na [@máquina#B-DEVICE*]"
"Ligar computador","Ligar [@computador#B-DEVICE*]"
"Toca uma musica do radio","Toca uma musica do [@radio#B-DEVICE*]"
"ligue o ar condicionado do quarto","ligue o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] do quarto"
"ligar o ar condicionado do quarto","ligar o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] do quarto"
"liga o ar condicionado do quarto","liga o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] do quarto"
"diminua a temperatura do ar condicionado do quarto","diminua a temperatura do [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] do quarto"
"aumente a temperatura do ar condicionado do quarto","aumente a temperatura do [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] do quarto"
"funcione o ar condicionado","funcione o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*]"
"faça funcionar o ar condicionado","faça funcionar o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*]"
"ponha em funcionamento o ar condicionado","ponha em funcionamento o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*]"
"energize o ar condicionado","energize o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*]"
"energizar o ar condicionado","energizar o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*]"
"Ligue a televisão.","Ligue a [@televisão#B-DEVICE*]."
"Você pode acender a luz da sala?","Você pode acender a [@luz#B-DEVICE*] da sala?"
"Eu quero que você ligue o forno.","Eu quero que você ligue o [@forno#B-DEVICE*]."
"Ligar o computador.","Ligar o [@computador#B-DEVICE*]."
"Quero ver televisão, ligue por favor.","Quero ver [@televisão#B-DEVICE*], ligue por favor."
"Tem como ligar o aparelho de som?","Tem como ligar o [@aparelho#B-DEVICE*] [@de#I-DEVICE*] [@som#I-DEVICE*]?"
"Por favor ligue a máquina de lavar.","Por favor ligue a [@máquina#B-DEVICE*] [@de#I-DEVICE*] [@lavar#I-DEVICE*]."
"Preciso que você ligue a secadora.","Preciso que você ligue a [@secadora#B-DEVICE*]."
"Quero o ventilador ligado agora.","Quero o [@ventilador#B-DEVICE*] ligado agora."
"Ligue a luz da cozinha agora","Ligue a [@luz#B-DEVICE*] da cozinha agora"
"por favor, liga a luz do banheiro","por favor, liga a [@luz#B-DEVICE*] do banheiro"
"liga a luz, por favor","liga a [@luz#B-DEVICE*], por favor"
"ligar a luz deste cômodo","ligar a [@luz#B-DEVICE*] deste cômodo"
"ilumina a mesa da cozinha","ilumina a mesa da cozinha"
"por favor, ilumina a mezinha","por favor, ilumina a mezinha"
"por favor, aumenta a luminosidade em cima do computador","por favor, aumenta a [@luminosidade#B-DEVICE*] em cima do computador"
"acende a luz da pia da cozinha","acende a [@luz#B-DEVICE*] da pia da cozinha"
"tô cozinhando, acende a luz","tô cozinhando, acende a [@luz#B-DEVICE*]"
"tô me maquiando, acende a luz do espelho do meu banheiro","tô me maquiando, acende a [@luz#B-DEVICE*] do espelho do meu banheiro"
"acende a luz do meu banheiro","acende a [@luz#B-DEVICE*] do meu banheiro"
"por favor acende a luz da cabeceira","por favor acende a [@luz#B-DEVICE*] da cabeceira"
"liga o ar a 24 graus","liga o [@ar#B-DEVICE*] a 24 graus"
"Faça torradas na chapa.","Faça torradas na [@chapa#B-DEVICE*]."
"A apresentação vai começar, ligue o projetor","A apresentação vai começar, ligue o [@projetor#B-DEVICE*]"
"comecou o jonal, liga a tv","comecou o jonal, liga a [@tv#B-DEVICE*]"
