Ligar um aparelho,Desligar um aparelho,Criar uma regra,Positivo,Negativo,Saudacao,Ajuda
Liga a televisão por favor.,Desligue a luz do quarto por favor.,Ligue o ar condicionado as 3 da tarde hoje.,sim,nao,oi,me ajuda
Ligue o ar condicionado.,Desligar a TV.,"Ligar a luz das 15 às 18 horas, todo dia.",claro,errado,ola,me tira uma duvida
Ar condicionado ligado.,Desliga o ar condicionado.,Apagar as luzes do quarto as 22 horas.,claro que sim,errou,bom dia,tenho uma duvida
Liga a luz do quarto ai.,Desligar música.,"Ligar a cafeteira às seis e quarenta e cinco, segundas e quartas.",pode ser,claro que nao,boa tarde,estou com duvidas
Liga meu computador pra mim.,Para a música.,Desligue todos os eletrônicos da casa às 21 horas.,por favor,negativo,boa noite,como funciona
Acende a luz da cozinha por favor.,Apaga a luz da cozinha.,Desligar o ventilador da sala as 15 horas.,ta bem,nao desejo,alo,onde eu clico para ligar um aparelho
Liga o som.,Chega de luz no corredor.,"Faz café pra mim todo dia às sete, por favor.",está bem,nunca,hello,onde fica o botao de ligar
Bota um som aí pra mim.,Está claro demais na sala.,"Desligue todas as luzes e ar condicionados da casa às 9 horas, todo dia.",ótimo,no,eai,onde fica o botao de desligar
Bota uma música aí.,Meu quarto está claro demais.,"Sempre toque uma música às oito da manhã, de segunda à sexta.",com certeza,ruim,e ai,como eu faço para desligar
Meu quarto está um pouco escuro.,Tem muita luz na cozinha.,Liga o ar condicionado pra mim daqui a meia hora ok?,certo,pessimo,,como funciona o isentinel
Preciso de luz aqui.,"Chega de vento, por favor.",Faz café pra mim daqui a cinco minutos por favor.,positivo,nao foi o que disse,,como faco para ligar o ar condicionado
Coloca a torradeira pra funcionar.,A sala está vazia.,Ligar a TV da sala na quarta feira as 21:30 e desligar as 23:00;,pode ligar,nao é o que pedi,,o que voce sabe fazer
Coloca o ventilador do quarto pra funcionar.,Não tem mais ninguém na sala.,Ligar o ar condicionado quando a temperatura ambiente estiver acima de 25°C;,pode ligar sim,,,o que voce faz
Faz um café aí.,Desligue a TV da sala;,Desligar o ventilador as 09:00 AM;,claro que pode,,,quais os comandos
Liga a luz do quarto;,Pode desligar o ventilador do quarto;,Quero que a TV do quarto ligue as 13:00 de sábado;,pode sim,,,como é que funciona
Pode ligar a TV por favor?,Quero que desligue o som da piscina;,Me acorde na segunda feira as 6 da manhã;,com toda certeza,,,preciso de ajuda
Ligue o ventilador da sala,Desligar boiler da casa,O PC deve ligar as 13:00 da quarta feira;,mas é claro,,,
Ligar TV da cozinha,Pode desligar o ar condicionado por favor?,Apagar as luzes da sala as 00:20;,desejo,,,
Ligar aparelho de som,Desligue o ventilador da cozinha;,Pode ligar as luzes na sexta a noite as 19:00?,yes,,,
Pode ligar o PC 1,Desligue as luzes do quarto;,Desligar o ar condicionado as 07:00;,,,,
Ligar todas as luzes de casa,Desligue apenas as primeiras luzes da sala;,Desligar o video-game as 19:00 todos os dias da semana.,,,,
Ligar o ar condicionado do quarto com suíte,Desligue todos as luzes da casa;,Ligue a luz da fachada das 18 às 7 horas todos os dias,,,,
Ligar a impressora conectada ao pc 1,Desligar o ar condicionado do escritório.,Desligue o ar condicionado do [cômodo] às 8 horas de segunda à sexta,,,,
Quero que ligue a TV do quarto;,Desligue o ar condicionado,"Ligue/ative o sistema de irrigação às 5 horas dia sim, dia não",,,,
"Ligue a televisão, por favor",Desligue o ar,Ligue o ar condicionado do [cômodo] meio dia e meia,,,,
"Liga a tv, por favor",Desligue o ar condicionado do [cômodo],Ligue o ar Condicionado do [cômodo] das 12 horas até seis da tarde/noite,,,,
"Ligue a luz do cômodo, por favor",Desligue a luz do [cômodo],Mantenha as luzes do [cômodo] acesas até às 6 horas,,,,
Acenda a luz do cômodo,Desligue a iluminação da fachada,"Programe o alarme para despertar segundas, quartas e sextas às dez da manhã/noite",,,,
Ligue o ar condicionado,Desligue o sistema de segurança,Ligue o rádio na estação x às sete da manhã/noite (ou 19 horas),,,,
"Ligue o ar, por favor",Desligue o ventilador no [cômodo],Acenda as luzes da fachada das seis da tarde/noite até às seis da manhã.,,,,
"Por favor,Ligue o computador",Desative o sistema de segurança,Acenda a luz do [cômodo] às seis da tarde,,,,
Ligue o ar condicionado do cômodo,Desative o alarme da porta,Ligue o ar por x minutos/horas,,,,
Ligue todas as luzes da casa,Apague a luz do [cômodo],Ligue o ar por meia hora,,,,
Ligue o alarme de casa,Desliga a TV,Desliga a TV depois do jornal das 21:00 horas,,,,
Ative o alarme de casa,Apaga o abajur,Apaga o abajur depois de 30 minutos dele aceso,,,,
Ligue o rádio,Desliga as luzes,A luz da cozinha fica ligada de 8:00 da manhã até 22:00 da noite,,,,
Liga a TV,Nenhuma luz acesa no quarto,Todo dia as 7:00 da manhã tocar despertador,,,,
Resfriar o quarto,Ar condicionado desligado,Manter o ar condicionado na temperatura de 24 graus de 22:00 as 7:00 horas,,,,
Acende o abajur,Apaga a tela da tv,Apaga a tela da tv depois das 22:00 horas caso esteja ligada,,,,
Liga as luzes,Não quero mais assistir TV,O ar fica ligado de 7:00 as 16:00 horas,,,,
Iluminar o quarto,Por hoje chega de música,sempre desligue o ar condicionado as 9:00,,,,
Ar condicionado ligado,Desligar computador,sempre ligue o ar condicionado as 21:00,,,,
Acende a tela da tv,A comida já está suficientemente quente,sempre ligue o ar condicionado no período de 9:00 as 18:00,,,,
Esquentar comida no microondas,desligue o ar condicionado do quarto,sempre ligue o ar condiconado no intervalo de 9:00 as 18:00,,,,
Lavar roupa na máquina,desligar o ar condicionado do quarto,ligue o ar condicionado as 21:00,,,,
Ligar computador,desliga o ar condicionado do quarto,ligue o ar condicionado no horário comercial,,,,
Toca uma musica do radio,não funcione o ar condicionado,ligue o ar condicionado fora do horário comercial,,,,
ligue o ar condicionado do quarto,faça não funcionar o ar condicionado,ligue o ar condicionado no horário de dormir,,,,
ligar o ar condicionado do quarto,ponha em não funcionamento o ar condicionado,ligue o ar condicionado a noite,,,,
liga o ar condicionado do quarto,desenergize o ar condicionado,ligue o ar condicionado a tarde,,,,
diminua a temperatura do ar condicionado do quarto,desenergizar o ar condicionado,ligue o ar condicionado pela manhã,,,,
aumente a temperatura do ar condicionado do quarto,apague o ar condicionado,desliga o forno daqui a 15 minutos,,,,
funcione o ar condicionado,apagar o ar condicionado,desliga a TV daqui a 1 hora e meia,,,,
faça funcionar o ar condicionado,Desligue o rádio.,desliga a TV daqui a 10 minutos,,,,
ponha em funcionamento o ar condicionado,Apague as luzes do banheiro.,desliga a TV em 15 minutos,,,,
energize o ar condicionado,"Pode desligar o ar condicionado, por favor?",liga a TV todo dia às sete e 30 da manhã menos sabado e domingo,,,,
energizar o ar condicionado,desliga a luz,liga a TV de segunda a sexta pela manhã as 7 e meia,,,,
Ligue a televisão.,desliga o forno,desliga a TV todo dia depois da Ana Maria Braga,,,,
Você pode acender a luz da sala?,apaga a luz,liga no jornal da globo todo dia a noite quando começar,,,,
Eu quero que você ligue o forno.,apaga todas as luzes da cobertura,acende a luz da cozinha todo dia às 18 as 22,,,,
Ligar o computador.,desliga o computador da cobertura,deixa a luz da cozinha acesa todo dia de 6 as 10 da noite,,,,
"Quero ver televisão, ligue por favor.",Desligue o forno,esquenta a comida por 1:30 seg,,,,
Tem como ligar o aparelho de som?,Apague a luz,esquenta por 1 minuto e meio,,,,
Por favor ligue a máquina de lavar.,"Por favor, desligue o ar",Pode preparar um café às 7h?,,,,
Preciso que você ligue a secadora.,Desligue o projetor,"Quando for 22h, desligue a TV.",,,,
Quero o ventilador ligado agora.,A apresentação acabou,Desligue o forno em 30 minutos.,,,,
Ligue a luz da cozinha agora,Acabe com a música,Desligue o ar condicionado as 2h da manhã.,,,,
"por favor, liga a luz do banheiro","Vou dormir, desliga a tela do computador",Coloque o despertador para 6h30 amanhã,,,,
"liga a luz, por favor",Desligue a cafeteira,"Deixe no modo soneca por mais 15 minutos, por favor",,,,
ligar a luz deste cômodo,Desligue as luzes da sala,"Por favor, ligue para meu avô às 16h;",,,,
ilumina a mesa da cozinha,Desliga a luz da sala,Ligar a maquina de lavar toda quarta às 12h,,,,
"por favor, ilumina a mezinha",Desliga o ar,Ligue o alarme todo dia as 19h,,,,
"por favor, aumenta a luminosidade em cima do computador",Desligue o ar condicionado,"Sempre que a temperatura for maior que 35 graus, ligue o ar condicionado.",,,,
acende a luz da pia da cozinha,Desligue a bomba d`água,Ligue as luzes da casa às 18:30,,,,
"tô cozinhando, acende a luz",Desligue o filtro de ar,Desligue as luzes às 22:30,,,,
"tô me maquiando, acende a luz do espelho do meu banheiro",Desliga o forno,"Ligue o som as terças e quintas,das 18:30 as 20:00",,,,
acende a luz do meu banheiro,Desliga o microondas,"Ligue as luzes às 8:30, de segunda a sexta",,,,
