Ligar um aparelho,Entities,Desligar um aparelho,Criar uma regra
Liga a televisão por favor.,televisao<B-DEVICE>,Desligue a luz do quarto por favor.,Ligue o ar condicionado as 3 da tarde hoje.
Ligue o ar condicionado.,ar<B-DEVICE>;condicionado<L-DEVICE>,Desligar a TV.,"Ligar a luz das 15 às 18 horas, todo dia."
Ar condicionado ligado.,ar<B-DEVICE>;condicionado<L-DEVICE>,Desliga o ar condicionado.,Apagar as luzes do quarto as 22 horas.
Liga a luz do quarto ai.,luz<B-DEVICE>;quarto<B-LOC>,Desligar música.,"Ligar a cafeteira às seis e quarenta e cinco, segundas e quartas."
Liga meu computador pra mim.,luz<B-DEVICE>;cozinha<B-LOC>,Para a música.,Desligue todos os eletrônicos da casa às 21 horas.
Acende a luz da cozinha por favor.,luz<B-DEVICE>;cozinha<B-LOC>,Apaga a luz da cozinha.,Desligar o ventilador da sala as 15 horas.
Liga o som.,som<B-DEVICE>,Chega de luz no corredor.,"Faz café pra mim todo dia às sete, por favor."
Bota um som aí pra mim.,som<B-DEVICE>,Está claro demais na sala.,"Desligue todas as luzes e ar condicionados da casa às 9 horas, todo dia."
Bota uma música aí.,musica<B-DEVICE>,Meu quarto está claro demais.,"Sempre toque uma música às oito da manhã, de segunda à sexta."
Meu quarto está um pouco escuro.,quarto<B-LOC>,Tem muita luz na cozinha.,Liga o ar condicionado pra mim daqui a meia hora ok?
Preciso de luz aqui.,luz aqui<B-DEVICE>,"Chega de vento, por favor.",Faz café pra mim daqui a cinco minutos por favor.
Coloca a torradeira pra funcionar.,torradeira<B-DEVICE>,A sala está vazia.,Ligar a TV da sala na quarta feira as 21:30 e desligar as 23:00;
Coloca o ventilador do quarto pra funcionar.,ventilador<B-DEVICE>;quarto<B-LOC>,Não tem mais ninguém na sala.,Ligar o ar condicionado quando a temperatura ambiente estiver acima de 25°C;
Faz um café aí.,cafe<B-DEVICE>,Desligue a TV da sala;,Desligar o ventilador as 09:00 AM;
Liga a luz do quarto;,luz<B-DEVICE>;quarto<B-LOC>,Pode desligar o ventilador do quarto;,Quero que a TV do quarto ligue as 13:00 de sábado;
Pode ligar a TV por favor?,tv<B-DEVICE>,Quero que desligue o som da piscina;,Me acorde na segunda feira as 6 da manhã;
