Ligar um aparelho,Entities,Desligar um aparelho,Criar uma regra
Liga a televisão por favor.,televisao,Desligue a luz do quarto por favor.,Ligue o ar condicionado as 3 da tarde hoje.
Ligue o ar condicionado.,ar condicionado,Desligar a TV.,"Ligar a luz das 15 às 18 horas, todo dia."
Ar condicionado ligado.,ar condicionado,Desliga o ar condicionado.,Apagar as luzes do quarto as 22 horas.
Liga a luz do quarto ai.,luz do quarto,Desligar música.,"Ligar a cafeteira às seis e quarenta e cinco, segundas e quartas."
Liga meu computador pra mim.,luz da cozinha,Para a música.,Desligue todos os eletrônicos da casa às 21 horas.
Acende a luz da cozinha por favor.,luz da cozinha,Apaga a luz da cozinha.,Desligar o ventilador da sala as 15 horas.
Liga o som.,som,Chega de luz no corredor.,"Faz café pra mim todo dia às sete, por favor."
Bota um som aí pra mim.,som,Está claro demais na sala.,"Desligue todas as luzes e ar condicionados da casa às 9 horas, todo dia."
Bota uma música aí.,musica,Meu quarto está claro demais.,"Sempre toque uma música às oito da manhã, de segunda à sexta."
Meu quarto está um pouco escuro.,quarto,Tem muita luz na cozinha.,Liga o ar condicionado pra mim daqui a meia hora ok?
Preciso de luz aqui.,luz aqui,"Chega de vento, por favor.",Faz café pra mim daqui a cinco minutos por favor.
Coloca a torradeira pra funcionar.,torradeira,A sala está vazia.,Ligar a TV da sala na quarta feira as 21:30 e desligar as 23:00;
Coloca o ventilador do quarto pra funcionar.,ventilador do quarto,Não tem mais ninguém na sala.,Ligar o ar condicionado quando a temperatura ambiente estiver acima de 25°C;
Faz um café aí.,cafe,Desligue a TV da sala;,Desligar o ventilador as 09:00 AM;
Liga a luz do quarto;,luz do quarto,Pode desligar o ventilador do quarto;,Quero que a TV do quarto ligue as 13:00 de sábado;
Pode ligar a TV por favor?,tv,Quero que desligue o som da piscina;,Me acorde na segunda feira as 6 da manhã;
Ligue o ventilador da sala,ventilador da sala,Desligar boiler da casa,O PC deve ligar as 13:00 da quarta feira;
Ligar TV da cozinha,tv da cozinha,Pode desligar o ar condicionado por favor?,Apagar as luzes da sala as 00:20;
Ligar aparelho de som,aparelho de som,Desligue o ventilador da cozinha;,Pode ligar as luzes na sexta a noite as 19:00?
Pode ligar o PC 1,pc 1,Desligue as luzes do quarto;,Desligar o ar condicionado as 07:00;
Ligar todas as luzes de casa,todas as luzes de casa,Desligue apenas as primeiras luzes da sala;,Desligar o video-game as 19:00 todos os dias da semana.
Ligar o ar condicionado do quarto com suíte,ar condicionado do quarto com suite,Desligue todos as luzes da casa;,Ligue a luz da fachada das 18 às 7 horas todos os dias
Ligar a impressora conectada ao pc 1,impressora conectada ao pc 1,Desligar o ar condicionado do escritório.,Desligue o ar condicionado do [cômodo] às 8 horas de segunda à sexta
Quero que ligue a TV do quarto;,tv do quarto,Desligue o ar condicionado,"Ligue/ative o sistema de irrigação às 5 horas dia sim, dia não"
"Ligue a televisão, por favor",televisao,Desligue o ar,Ligue o ar condicionado do [cômodo] meio dia e meia
"Liga a tv, por favor",tv,Desligue o ar condicionado do [cômodo],Ligue o ar Condicionado do [cômodo] das 12 horas até seis da tarde/noite
"Ligue a luz do cômodo, por favor",comodo,Desligue a luz do [cômodo],Mantenha as luzes do [cômodo] acesas até às 6 horas
Acenda a luz do cômodo,comodo,Desligue a iluminação da fachada,"Programe o alarme para despertar segundas, quartas e sextas às dez da manhã/noite"
Ligue o ar condicionado,ar condicionado,Desligue o sistema de segurança,Ligue o rádio na estação x às sete da manhã/noite (ou 19 horas)
"Ligue o ar, por favor",ar,Desligue o ventilador no [cômodo],Acenda as luzes da fachada das seis da tarde/noite até às seis da manhã.
"Por favor,Ligue o computador",computador,Desative o sistema de segurança,Acenda a luz do [cômodo] às seis da tarde
Ligue o ar condicionado do cômodo,ar condicionado do comodo,Desative o alarme da porta,Ligue o ar por x minutos/horas
Ligue todas as luzes da casa,todas luzes da casa,Apague a luz do [cômodo],Ligue o ar por meia hora
Ligue o alarme de casa,alarme da casa,Desliga a TV,Desliga a TV depois do jornal das 21:00 horas
Ative o alarme de casa,alarme da casa,Apaga o abajur,Apaga o abajur depois de 30 minutos dele aceso
Ligue o rádio,radio,Desliga as luzes,A luz da cozinha fica ligada de 8:00 da manhã até 22:00 da noite
Liga a TV,tv,Nenhuma luz acesa no quarto,Todo dia as 7:00 da manhã tocar despertador
Resfriar o quarto,quarto,Ar condicionado desligado,Manter o ar condicionado na temperatura de 24 graus de 22:00 as 7:00 horas
Acende o abajur,abajur,Apaga a tela da tv,Apaga a tela da tv depois das 22:00 horas caso esteja ligada
Liga as luzes,luzes,Não quero mais assistir TV,O ar fica ligado de 7:00 as 16:00 horas
Iluminar o quarto,quarto,Por hoje chega de música,sempre desligue o ar condicionado as 9:00
Ar condicionado ligado,ar condicionado,Desligar computador,sempre ligue o ar condicionado as 21:00
Acende a tela da tv,tela da tv,A comida já está suficientemente quente,sempre ligue o ar condicionado no período de 9:00 as 18:00
Esquentar comida no microondas,microondas,desligue o ar condicionado do quarto,sempre ligue o ar condiconado no intervalo de 9:00 as 18:00
Lavar roupa na máquina,maquina,desligar o ar condicionado do quarto,ligue o ar condicionado as 21:00
Ligar computador,computador,desliga o ar condicionado do quarto,ligue o ar condicionado no horário comercial
Toca uma musica do radio,radio,não funcione o ar condicionado,ligue o ar condicionado fora do horário comercial
ligue o ar condicionado do quarto,ar condicionado do quarto,faça não funcionar o ar condicionado,ligue o ar condicionado no horário de dormir
ligar o ar condicionado do quarto,ar condicionado do quarto,ponha em não funcionamento o ar condicionado,ligue o ar condicionado a noite
liga o ar condicionado do quarto,ar condiciocnado do quarto,desenergize o ar condicionado,ligue o ar condicionado a tarde
diminua a temperatura do ar condicionado do quarto,ar condiciocnado do quarto,desenergizar o ar condicionado,ligue o ar condicionado pela manhã
aumente a temperatura do ar condicionado do quarto,ar condiciocnado do quarto,apague o ar condicionado,desliga o forno daqui a 15 minutos
funcione o ar condicionado,ar condiciocnado,apagar o ar condicionado,desliga a TV daqui a 1 hora e meia
faça funcionar o ar condicionado,ar condicionado,Desligue o rádio.,desliga a TV daqui a 10 minutos
ponha em funcionamento o ar condicionado,ar condicionado,Apague as luzes do banheiro.,desliga a TV em 15 minutos
energize o ar condicionado,ar condicionado,"Pode desligar o ar condicionado, por favor?",liga a TV todo dia às sete e 30 da manhã menos sabado e domingo
energizar o ar condicionado,ar condicionado,desliga a luz,liga a TV de segunda a sexta pela manhã as 7 e meia
Ligue a televisão.,televisao,desliga o forno,desliga a TV todo dia depois da Ana Maria Braga
Você pode acender a luz da sala?,luz da sala,apaga a luz,liga no jornal da globo todo dia a noite quando começar
